;combo;num_outlets;num_appearances;normalized_appearances;year;month;month_half;FarRight;Right;CenterRight;Center;CenterLeft;Left;FarLeft
592;brandon bies.none.union soldiers;2;4;0.04060913705583756;2018;6;15;0;0;0;0;4;0;0
593;none.donald trump.none;2;4;0.04060913705583756;2018;6;15;0;0;0;0;0;0;4
594;none.donald trump.china;2;4;0.04060913705583756;2018;6;15;2;0;0;0;2;0;0
595;none.mitch mcconnell.none;2;4;0.04060913705583756;2018;6;15;0;0;0;0;0;0;4
596;adam vinatieri.none.none;2;4;0.04060913705583756;2018;6;15;0;0;0;0;4;0;0
597;none.vladimir putin.none;1;8;0.04060913705583756;2018;6;15;8;0;0;0;0;0;0
598;none.donald trump.americans;2;4;0.04060913705583756;2018;6;15;0;0;0;0;0;0;4
599;alex jones.global elite.80% of the world's population;1;8;0.04060913705583756;2018;6;15;8;0;0;0;0;0;0
600;none.none.none;178;994;314.8256227758007;2018;7;1;48;192;142;210;214;172;16
601;lebron james.none.none;12;24;0.5124555160142349;2018;7;1;4;2;8;2;4;4;0
602;paul george.none.none;10;22;0.3914590747330961;2018;7;1;0;2;10;6;2;2;0
603;vince velasquez.adam eaton.vince velasquez;8;16;0.2277580071174377;2018;7;1;0;4;4;4;4;0;0
604;simone veil.none.none;6;12;0.12811387900355872;2018;7;1;0;0;2;0;4;6;0
605;dr. r. gopakumar.nipah virus.none;6;12;0.12811387900355872;2018;7;1;0;0;0;0;0;12;0
606;dennis sinnok.none.none;5;10;0.08896797153024912;2018;7;1;0;0;0;0;0;10;0
607;chris wondolowski.none.none;5;10;0.08896797153024912;2018;7;1;0;0;2;0;8;0;0
608;lebron james.chris paul.houston rockets;5;10;0.08896797153024912;2018;7;1;0;4;2;4;0;0;0
609;chris paul.none.none;5;10;0.08896797153024912;2018;7;1;0;0;2;4;2;2;0
610;none.none.none;34;118;32.096000000000004;2018;7;15;82;0;0;2;20;0;14
611;none.donald trump.none;4;12;0.384;2018;7;15;4;0;0;0;0;0;8
612;none.donald trump.americans;2;6;0.096;2018;7;15;0;0;0;0;0;0;6
613;none.rudy giuliani.michael cohen;2;4;0.064;2018;7;15;0;0;0;0;0;0;4
614;none.maria butina.none;2;4;0.064;2018;7;15;0;0;0;0;0;0;4
615;lori la bey.none.none;1;4;0.032;2018;7;15;0;0;4;0;0;0;0
616;none.none.22 injured soldiers};1;2;0.016;2018;7;15;0;0;0;0;0;0;2
617;none.none.jewish neighbors;1;2;0.016;2018;7;15;0;0;0;0;0;0;2
618;none.none.iraq;1;2;0.016;2018;7;15;2;0;0;0;0;0;0
619;none.none.husnain rashid};1;2;0.016;2018;7;15;0;0;0;0;0;0;2
620;none.none.none;174;1020;340.65259117082536;2018;8;1;90;152;176;234;212;144;12
621;jake diekman.none.none;10;20;0.3838771593090211;2018;8;1;0;6;2;8;4;0;0
622;none.paul manafort.none;7;14;0.18809980806142035;2018;8;1;0;0;2;8;4;0;0
623;"none
villain: none
victim: none.none.none";7;14;0.18809980806142035;2018;8;1;0;4;2;2;2;4;0
624;none.chicago chain.aloha poke;7;14;0.18809980806142035;2018;8;1;0;0;2;4;8;0;0
625;none.donald trump.none;5;10;0.09596928982725528;2018;8;1;2;0;2;0;0;0;6
626;paul babeu.none.none;5;10;0.09596928982725528;2018;8;1;0;0;0;2;8;0;0
627;davis.none.none;5;10;0.09596928982725528;2018;8;1;0;0;0;10;0;0;0
628;alex jones.global elite.80% of the world's population;1;34;0.06525911708253358;2018;8;1;30;4;0;0;0;0;0
629;none.washington nationals.new york mets;4;8;0.061420345489443376;2018;8;1;0;0;0;2;6;0;0
630;none.none.none;18;54;12.789473684210526;2018;8;15;0;2;0;4;0;2;46
631;none.donald trump.none;3;6;0.23684210526315788;2018;8;15;0;0;0;0;0;0;6
632;none.paul manafort.none;2;6;0.15789473684210525;2018;8;15;0;0;0;0;0;0;6
633;none.donald trump.michael cohen;2;4;0.10526315789473684;2018;8;15;0;0;0;0;0;0;4
634;john mccain.donald trump.none;2;4;0.10526315789473684;2018;8;15;0;0;0;0;0;0;4
635;none.canada's dairy industry.united states;2;4;0.10526315789473684;2018;8;15;0;0;0;4;0;0;0
636;lori la bey.none.none;1;4;0.05263157894736842;2018;8;15;0;0;4;0;0;0;0
637;shailene woodley.energy transfer partners.standing rock sioux tribe;1;4;0.05263157894736842;2018;8;15;0;0;0;0;0;0;4
638;none.lieutenant colonel ralph peters.fox news;1;2;0.02631578947368421;2018;8;15;0;0;0;0;0;0;2
639;none.manipulators.public;1;2;0.02631578947368421;2018;8;15;0;0;0;0;0;0;2
640;none.none.none;218;720;222.95454545454544;2018;9;1;106;120;104;118;104;112;56
641;john mccain.none.none;18;36;0.9204545454545455;2018;9;1;2;8;6;0;6;10;4
642;john mccain.donald trump.none;7;16;0.1590909090909091;2018;9;1;2;2;2;4;0;6;0
643;maya moms.none.none;6;12;0.10227272727272727;2018;9;1;0;0;0;2;2;8;0
644;none.donald trump.none;6;12;0.10227272727272727;2018;9;1;0;0;0;0;0;2;10
645;none.donald trump.canada;5;12;0.08522727272727272;2018;9;1;4;2;0;0;0;2;4
646;kurt volker.russia.ukraine;5;10;0.07102272727272727;2018;9;1;0;0;0;0;6;2;2
647;courtney nguyen.bernard giudicelli.alize cornet;5;10;0.07102272727272727;2018;9;1;0;0;0;0;0;10;0
648;none.united states.palestinian refugees;4;8;0.045454545454545456;2018;9;1;0;0;0;0;6;0;2
649;samuel bianco.trump administration.immigrants;4;8;0.045454545454545456;2018;9;1;0;0;0;0;0;8;0
650;none.none.none;7;18;4.666666666666666;2018;9;15;0;6;2;8;0;2;0
651;alex borstein.none.none;1;2;0.07407407407407407;2018;9;15;2;0;0;0;0;0;0
652;ashraf ghani.taliban.afghan people;1;2;0.07407407407407407;2018;9;15;0;0;0;0;2;0;0
653;maurice white.none.none;1;2;0.07407407407407407;2018;9;15;2;0;0;0;0;0;0
654;michael mace.none.none;1;2;0.07407407407407407;2018;9;15;0;0;0;2;0;0;0
655;mike mcgraw.none.none;1;2;0.07407407407407407;2018;9;15;0;0;0;2;0;0;0
656;none.brett kavanaugh.christine blasey ford;1;2;0.07407407407407407;2018;9;15;0;0;0;0;2;0;0
657;none.greg paul.none;1;2;0.07407407407407407;2018;9;15;0;0;0;2;0;0;0
658;none.hugedomains.com.cscmediagroupus.org;1;2;0.07407407407407407;2018;9;15;2;0;0;0;0;0;0
659;none.none.user;1;2;0.07407407407407407;2018;9;15;0;0;0;2;0;0;0
660;none.none.none;173;864;271.76727272727277;2018;10;1;30;224;110;142;160;150;48
661;charles aznavour.none.none;16;34;0.9890909090909091;2018;10;1;0;0;2;20;6;4;2
662;none.donald trump.none;11;24;0.48;2018;10;1;0;0;0;6;6;6;6
663;donald trump.none.none;8;16;0.23272727272727273;2018;10;1;0;6;2;0;2;4;2
664;lebron james.none.none;6;12;0.13090909090909092;2018;10;1;0;2;2;0;8;0;0
665;none.donald trump.fred trump;5;10;0.09090909090909091;2018;10;1;0;2;0;2;2;2;2
666;boris johnson.theresa may.none;5;10;0.09090909090909091;2018;10;1;0;2;2;4;2;0;0
667;james allison.none.none;4;8;0.05818181818181818;2018;10;1;0;2;0;0;2;2;2
668;none.donald trump.cecilia vega;4;8;0.05818181818181818;2018;10;1;0;2;0;2;0;2;2
669;none.china.united states;3;8;0.04363636363636364;2018;10;1;0;0;2;0;0;2;4
670;none.none.none;34;106;31.614035087719298;2018;10;15;90;0;2;8;2;2;2
671;alex jones.global elite.80% of the world's population;1;24;0.21052631578947367;2018;10;15;24;0;0;0;0;0;0
672;julia roberts.none.none;2;6;0.10526315789473684;2018;10;15;0;2;4;0;0;0;0
673;none.vladimir putin.target;1;12;0.10526315789473684;2018;10;15;12;0;0;0;0;0;0
674;none.global elite.80% of the world's population;1;8;0.07017543859649122;2018;10;15;8;0;0;0;0;0;0
675;vladimir putin.international criminal court.russia;1;8;0.07017543859649122;2018;10;15;8;0;0;0;0;0;0
676;alex jones.global elite.world population;1;6;0.05263157894736842;2018;10;15;6;0;0;0;0;0;0
677;alex jones.new world order.80% of the world's population;1;4;0.03508771929824561;2018;10;15;4;0;0;0;0;0;0
678;vladimir putin.international criminal court.donald trump;1;4;0.03508771929824561;2018;10;15;4;0;0;0;0;0;0
679;none.hillary clinton.eric holder and cory booker;1;2;0.017543859649122806;2018;10;15;2;0;0;0;0;0;0
680;none.none.none;203;1094;355.33119999999997;2018;11;1;68;184;170;238;212;192;30
681;none.none.migrants;10;20;0.32;2018;11;1;0;2;0;4;10;4;0
682;derrick rose.none.none;10;20;0.32;2018;11;1;0;4;2;6;8;0;0
683;divers.none.none;9;18;0.2592;2018;11;1;0;0;0;8;6;4;0
684;diego valeri.none.none;8;16;0.2048;2018;11;1;0;0;0;10;6;0;0
685;none.donald trump.none;7;14;0.1568;2018;11;1;0;2;2;0;2;0;8
686;virtanen.none.none;6;12;0.1152;2018;11;1;0;0;0;6;6;0;0
687;tyrel lomax.none.none;5;10;0.08;2018;11;1;0;0;0;0;8;2;0
688;adam thielen.none.none;5;10;0.08;2018;11;1;0;0;0;6;2;2;0
689;google employees.none.none;5;10;0.08;2018;11;1;0;0;0;6;4;0;0
690;none.none.none;36;146;53.09090909090909;2018;11;15;88;4;0;2;8;0;44
691;none.donald trump.none;4;10;0.4040404040404041;2018;11;15;0;0;0;0;0;0;10
692;michael cohen.donald trump.none;2;4;0.08080808080808081;2018;11;15;0;0;0;0;0;0;4
693;none.michael cohen.donald trump;2;4;0.08080808080808081;2018;11;15;0;0;0;0;0;0;4
694;alex jones.global elite.80% of the world's population;1;6;0.06060606060606061;2018;11;15;6;0;0;0;0;0;0
695;eva bartlett.western corporate media.residents in occupied palestine;1;4;0.04040404040404041;2018;11;15;2;0;0;0;0;0;2
696;none.alex jones.global elite;1;4;0.04040404040404041;2018;11;15;4;0;0;0;0;0;0
697;alex jones.global elite.humanity;1;4;0.04040404040404041;2018;11;15;4;0;0;0;0;0;0
698;alex jones.global elites.80% of the world's population;1;4;0.04040404040404041;2018;11;15;4;0;0;0;0;0;0
699;none.michael cohen.none;1;2;0.020202020202020204;2018;11;15;0;0;0;0;0;0;2
700;none.none.none;181;746;211.30829420970264;2018;12;1;36;186;144;154;138;24;64
701;george h.w. bush.none.none;92;204;29.37089201877934;2018;12;1;6;36;2;98;50;8;4
702;none.donald trump.none;14;32;0.701095461658842;2018;12;1;8;0;0;0;2;4;18
703;george hw bush.none.none;7;18;0.1971830985915493;2018;12;1;2;0;0;10;6;0;0
704;cameron smith.none.none;6;12;0.11267605633802817;2018;12;1;0;0;0;8;4;0;0
705;narendra modi.none.none;5;14;0.10954616588419405;2018;12;1;0;4;8;2;0;0;0
706;michael cohen.donald trump.none;5;10;0.0782472613458529;2018;12;1;0;0;2;0;2;0;6
707;none.mohammed bin salman.jamal khashoggi;5;10;0.0782472613458529;2018;12;1;0;2;0;0;2;2;4
708;george h.w. bush.none.barbara bush;4;8;0.050078247261345854;2018;12;1;0;2;0;6;0;0;0
709;rajon rondo.none.none;4;8;0.050078247261345854;2018;12;1;0;0;0;2;6;0;0
710;none.none.none;70;202;56.56;2018;12;15;82;2;0;4;8;106;0
711;none.donald trump.none;4;8;0.128;2018;12;15;2;0;0;0;0;6;0
712;none.donald trump.michael cohen;3;6;0.07200000000000001;2018;12;15;4;0;0;0;0;2;0
713;donald trump.none.none;3;6;0.07200000000000001;2018;12;15;2;0;0;0;0;4;0
714;none.donald trump.united states;2;4;0.032;2018;12;15;0;0;0;0;0;4;0
715;alex jones.global elite.80% of the world's population;1;8;0.032;2018;12;15;8;0;0;0;0;0;0
716;daniil trifonov.none.none;2;4;0.032;2018;12;15;0;0;0;0;0;4;0
717;none.donald trump.barack obama;2;4;0.032;2018;12;15;2;0;0;0;0;2;0
718;alan stern.none.none;2;4;0.032;2018;12;15;0;0;0;0;0;4;0
719;cristiano ronaldo.kathryn mayorga.none;1;4;0.016;2018;12;15;4;0;0;0;0;0;0
720;none.none.none;194;804;263.02866779089373;2019;1;1;58;156;138;162;148;112;30
721;none.donald trump.none;14;38;0.8971332209106239;2019;1;1;0;8;4;2;2;4;18
722;none.donald trump.federal workers;8;16;0.21585160202360876;2019;1;1;0;0;2;0;6;6;2
723;jair bolsonaro.none.none;6;12;0.12141652613827993;2019;1;1;2;0;2;4;2;2;0
724;venus williams.none.none;6;12;0.12141652613827993;2019;1;1;0;0;2;4;4;2;0
725;dabo swinney.none.none;6;12;0.12141652613827993;2019;1;1;0;0;4;6;2;0;0
726;kevin mccarthy.none.none;6;12;0.12141652613827993;2019;1;1;0;0;0;0;12;0;0
727;netflix.none.none;5;10;0.08431703204047217;2019;1;1;0;0;0;0;0;10;0
728;none.none.indonesia;5;10;0.08431703204047217;2019;1;1;0;2;0;4;2;2;0
729;king maha vajiralongkorn.none.none;5;10;0.08431703204047217;2019;1;1;0;0;2;4;4;0;0
730;none.none.none;30;92;20.444444444444443;2019;1;15;46;8;0;2;0;8;28
731;alex jones.global elite.80% of the world's population;1;30;0.22222222222222224;2019;1;15;30;0;0;0;0;0;0
732;nancy pelosi.donald trump.none;3;8;0.17777777777777778;2019;1;15;0;0;0;0;0;0;8
733;none.donald trump.none;3;6;0.13333333333333333;2019;1;15;0;0;0;0;0;0;6
734;none.roger stone.none;2;6;0.08888888888888889;2019;1;15;2;0;0;0;0;0;4
735;none.donald trump.nancy pelosi;2;4;0.05925925925925926;2019;1;15;0;0;0;0;0;0;4
736;lana.none.none;1;8;0.05925925925925926;2019;1;15;0;0;0;0;0;0;8
737;alex jones.global elite.world population;1;6;0.044444444444444446;2019;1;15;6;0;0;0;0;0;0
738;alex jones.new world order.80% of the world's population;1;6;0.044444444444444446;2019;1;15;6;0;0;0;0;0;0
739;jonas nordby.none.none;1;4;0.02962962962962963;2019;1;15;4;0;0;0;0;0;0
740;none.none.none;194;756;214.42105263157896;2019;2;1;48;158;140;162;90;134;24
741;piyush goyal.none.none;8;46;0.5380116959064327;2019;2;1;0;20;4;22;0;0;0
742;none.donald trump.none;10;20;0.29239766081871343;2019;2;1;6;4;2;0;2;2;4
743;cory booker.none.none;10;20;0.29239766081871343;2019;2;1;2;6;2;0;4;6;0
744;none.donald trump.nancy pelosi;4;8;0.04678362573099415;2019;2;1;0;2;2;0;0;4;0
745;narendra modi.none.none;3;8;0.03508771929824561;2019;2;1;0;0;2;4;2;0;0
746;brie larson.none.none;3;6;0.02631578947368421;2019;2;1;2;0;0;4;0;0;0
747;united states.russia.none;3;6;0.02631578947368421;2019;2;1;0;0;0;0;0;6;0
748;none.ralph northam.none;3;6;0.02631578947368421;2019;2;1;0;0;4;0;0;0;2
749;thomas.none.none;3;6;0.02631578947368421;2019;2;1;0;0;0;4;2;0;0
750;none.none.none;46;120;29.206349206349206;2019;2;15;60;2;0;2;24;0;32
751;none.donald trump.none;7;14;0.5185185185185185;2019;2;15;0;0;0;0;2;0;12
752;none.jussie smollett.none;3;6;0.09523809523809523;2019;2;15;4;0;0;0;0;0;2
753;none.donald trump.michael cohen;3;6;0.09523809523809523;2019;2;15;0;0;0;0;0;0;6
754;none.michael cohen.none;2;6;0.06349206349206349;2019;2;15;0;0;0;0;0;0;6
755;none.china.united states;2;4;0.042328042328042326;2019;2;15;0;0;0;0;2;0;2
756;amy berman jackson.roger stone.none;2;4;0.042328042328042326;2019;2;15;0;0;0;0;0;0;4
757;none.donald trump.north korea;2;4;0.042328042328042326;2019;2;15;2;0;0;0;0;0;2
758;none.michael cohen.donald trump;2;4;0.042328042328042326;2019;2;15;0;0;0;0;0;0;4
759;michael cohen.donald trump.none;2;4;0.042328042328042326;2019;2;15;2;0;0;0;0;0;2
760;none.none.none;189;1024;329.7035775127768;2019;3;1;102;124;186;232;178;144;58
761;jones.none.none;8;18;0.2453151618398637;2019;3;1;0;0;4;8;6;0;0
762;none.donald trump.none;7;16;0.19080068143100512;2019;3;1;6;0;0;0;0;0;10
763;none.hamza bin laden.none;7;14;0.1669505962521295;2019;3;1;0;0;2;0;4;8;0
764;nuhu.idaho.portland state;7;14;0.1669505962521295;2019;3;1;0;0;0;8;6;0;0
765;pineiro.none.none;6;12;0.12265758091993184;2019;3;1;0;0;4;4;4;0;0
766;solange.none.none;6;12;0.12265758091993184;2019;3;1;0;0;0;0;2;10;0
767;donovan mitchell.none.none;5;10;0.08517887563884156;2019;3;1;0;0;4;2;4;0;0
768;king.none.none;5;10;0.08517887563884156;2019;3;1;0;0;2;6;2;0;0
769;zach murray.none.none;5;10;0.08517887563884156;2019;3;1;0;2;2;4;2;0;0
770;none.none.none;27;82;24.876404494382022;2019;3;15;34;4;4;2;16;2;20
771;alex jones.global elite.80% of the world's population;1;10;0.11235955056179775;2019;3;15;10;0;0;0;0;0;0
772;none.donald trump.none;2;4;0.0898876404494382;2019;3;15;0;0;0;0;0;0;4
773;david nield.none.none;1;6;0.06741573033707865;2019;3;15;0;0;0;0;6;0;0
774;none.global elite.80% of the world's population;1;4;0.0449438202247191;2019;3;15;4;0;0;0;0;0;0
775;none.michael avenatti.nike;1;4;0.0449438202247191;2019;3;15;4;0;0;0;0;0;0
776;o'reilly media.none.none;1;4;0.0449438202247191;2019;3;15;0;0;4;0;0;0;0
777;billy cadden.none.none;1;4;0.0449438202247191;2019;3;15;0;0;0;0;4;0;0
778;none.mitch mcconnell.democrats and the senate's rules;1;2;0.02247191011235955;2019;3;15;0;0;0;0;0;0;2
779;none.kris kobach.syrian refugees;1;2;0.02247191011235955;2019;3;15;0;0;0;0;0;0;2
780;none.none.none;185;1082;418.765690376569;2019;4;1;92;436;132;168;104;110;40
781;none.donald trump.none;12;24;0.602510460251046;2019;4;1;4;2;0;0;2;8;8
782;none.donald trump.mexico;9;24;0.45188284518828453;2019;4;1;0;10;0;2;8;4;0
783;mick jagger.none.none;10;20;0.41841004184100417;2019;4;1;0;6;2;0;0;12;0
784;kurt cobain.none.none;5;10;0.10460251046025104;2019;4;1;0;0;0;4;4;2;0
785;mackenzie bezos.jeff bezos.none;4;8;0.06694560669456066;2019;4;1;0;0;0;4;2;2;0
786;prince harry.none.none;4;8;0.06694560669456066;2019;4;1;0;0;2;4;0;2;0
787;none.joe biden.none;4;8;0.06694560669456066;2019;4;1;2;2;0;2;0;2;0
788;none.united states.iran;3;8;0.0502092050209205;2019;4;1;0;0;0;0;0;8;0
789;huawei.none.none;3;8;0.0502092050209205;2019;4;1;0;0;2;6;0;0;0
790;none.none.none;24;70;20.48780487804878;2019;4;15;38;0;0;8;24;0;0
791;james adducci.none.none;2;4;0.0975609756097561;2019;4;15;0;0;2;0;2;0;0
792;nathan phillips.nick sandmann.none;2;4;0.0975609756097561;2019;4;15;0;0;0;2;2;0;0
793;alex jones.global elite.80% of the world's population;1;6;0.07317073170731708;2019;4;15;6;0;0;0;0;0;0
794;none.none.hillary clinton;1;4;0.04878048780487805;2019;4;15;4;0;0;0;0;0;0
795;pete buttigieg.none.none;1;4;0.04878048780487805;2019;4;15;0;0;0;0;4;0;0
796;juan guaido.nicolas maduro.venezuelan people;1;4;0.04878048780487805;2019;4;15;0;0;0;0;4;0;0
797;narendra modi.ttp militants.6 soldiers;1;4;0.04878048780487805;2019;4;15;0;0;0;4;0;0;0
798;none.maduro.venezuelan people;1;2;0.024390243902439025;2019;4;15;0;0;0;0;2;0;0
799;none.maduro, nicolas.u.s. diplomats in venezuela;1;2;0.024390243902439025;2019;4;15;0;0;0;0;2;0;0
800;none.none.none;180;956;320.44692737430165;2019;5;1;74;176;168;230;130;166;12
801;couture.none.none;8;16;0.2383612662942272;2019;5;1;0;0;2;8;6;0;0
802;logan couture.none.none;7;14;0.1824953445065177;2019;5;1;0;4;4;4;0;2;0
803;kevin durant.none.none;7;14;0.1824953445065177;2019;5;1;0;0;6;4;2;2;0
804;mike dewine.none.none;6;12;0.1340782122905028;2019;5;1;0;0;2;4;6;0;0
805;none.donald trump.none;6;12;0.1340782122905028;2019;5;1;2;0;2;2;0;0;6
806;kemmer.none.none;5;10;0.09310986964618251;2019;5;1;0;0;4;4;0;2;0
807;cc sabathia.none.john ryan murphy;5;10;0.09310986964618251;2019;5;1;0;2;4;4;0;0;0
808;kyle schwarber.none.none;5;10;0.09310986964618251;2019;5;1;0;0;0;8;0;2;0
809;hydriz.none.none;1;46;0.08566108007448789;2019;5;1;0;0;46;0;0;0;0
810;none.none.none;26;88;18.90909090909091;2019;5;15;30;0;0;4;16;8;30
811;none.donald trump.none;5;12;0.49586776859504134;2019;5;15;2;0;0;0;4;0;6
812;none.john bolton.iran;4;8;0.2644628099173554;2019;5;15;0;0;0;0;0;0;8
813;alex jones.global elite.80% of the world's population;1;20;0.1652892561983471;2019;5;15;20;0;0;0;0;0;0
814;none.donald trump.julian assange;2;4;0.06611570247933884;2019;5;15;2;0;0;0;0;0;2
815;none.donald trump.nancy pelosi;2;4;0.06611570247933884;2019;5;15;0;0;0;0;0;0;4
816;none.donald trump.iran;2;4;0.06611570247933884;2019;5;15;0;0;0;0;0;0;4
817;elizabeth warren.donald trump.none;2;4;0.06611570247933884;2019;5;15;0;0;0;0;2;0;2
818;pamela anderson.swedish authorities.julian assange;1;4;0.03305785123966942;2019;5;15;4;0;0;0;0;0;0
819;european union.none.none;1;4;0.03305785123966942;2019;5;15;0;0;0;4;0;0;0
820;none.none.none;164;820;251.36448598130843;2019;6;1;68;130;188;176;114;112;32
821;none.donald trump.none;12;26;0.5831775700934579;2019;6;1;4;4;0;0;0;6;12
822;bruce.none.none;7;14;0.18317757009345795;2019;6;1;0;0;4;8;2;0;0
823;none.donald trump.india;6;14;0.15700934579439252;2019;6;1;0;2;2;6;0;4;0
824;sonia gandhi.none.none;6;12;0.13457943925233645;2019;6;1;0;0;6;2;4;0;0
825;trevor story.none.none;6;12;0.13457943925233645;2019;6;1;0;0;4;6;2;0;0
826;lara.none.none;6;12;0.13457943925233645;2019;6;1;0;0;4;6;0;2;0
827;none.city worker.12 people;6;12;0.13457943925233645;2019;6;1;0;0;2;8;0;2;0
828;deleon.none.none;5;10;0.09345794392523364;2019;6;1;0;0;4;4;2;0;0
829;carson.none.none;5;10;0.09345794392523364;2019;6;1;0;0;2;6;2;0;0
830;none.none.none;25;144;33.64485981308411;2019;6;15;92;2;0;14;10;6;20
831;kamala harris.joe biden.none;4;8;0.29906542056074764;2019;6;15;0;0;0;0;0;0;8
832;none.donald trump.none;4;8;0.29906542056074764;2019;6;15;0;0;0;0;2;0;6
833;none.donald trump.e. jean carroll;3;8;0.22429906542056074;2019;6;15;2;0;0;0;0;0;6
834;none.donald trump.americans;2;6;0.11214953271028036;2019;6;15;0;0;0;0;4;0;2
835;alex jones.global elite.80% of the world's population;1;10;0.09345794392523364;2019;6;15;10;0;0;0;0;0;0
836;european union.none.none;1;10;0.09345794392523364;2019;6;15;0;0;0;10;0;0;0
837;kamala harris.none.none;2;4;0.07476635514018691;2019;6;15;0;0;0;0;0;0;4
838;none.facebook.none;2;4;0.07476635514018691;2019;6;15;4;0;0;0;0;0;0
839;none.iran.united states;2;4;0.07476635514018691;2019;6;15;2;0;0;0;0;0;2
840;none.none.none;193;910;306.50959860383944;2019;7;1;34;146;152;176;158;188;56
841;none.donald trump.none;12;32;0.6701570680628273;2019;7;1;4;0;0;0;2;4;22
842;alvarez.none.none;9;18;0.2827225130890052;2019;7;1;0;0;4;8;6;0;0
843;donald trump.none.none;8;16;0.22338568935427575;2019;7;1;0;4;2;2;2;4;2
844;none.israel.syria;7;14;0.17102966841186737;2019;7;1;0;2;0;4;8;0;0
845;escobedo.none.none;5;10;0.08726003490401396;2019;7;1;0;0;0;4;4;2;0
846;none.iran.none;5;10;0.08726003490401396;2019;7;1;0;6;0;0;0;4;0
847;"none
villain: none
victim: none.none.none";5;10;0.08726003490401396;2019;7;1;0;2;2;2;2;0;2
848;tolbert, basabe.none.none;5;10;0.08726003490401396;2019;7;1;0;0;2;2;6;0;0
849;taylor.none.none;5;10;0.08726003490401396;2019;7;1;0;0;2;4;4;0;0
850;none.none.none;29;74;21.897959183673468;2019;7;15;56;0;4;8;2;4;0
851;none.donald trump.ilhan omar;3;6;0.18367346938775508;2019;7;15;6;0;0;0;0;0;0
852;none.donald trump.the squad;2;4;0.08163265306122448;2019;7;15;4;0;0;0;0;0;0
853;none.donald trump.none;2;4;0.08163265306122448;2019;7;15;2;0;0;0;2;0;0
854;alex jones.global elite.80% of the world's population;1;6;0.061224489795918366;2019;7;15;6;0;0;0;0;0;0
855;alex jones.global elite.world population;1;6;0.061224489795918366;2019;7;15;6;0;0;0;0;0;0
856;a$ap rocky.swedish prime minister stefan löfven.a$ap rocky;1;2;0.02040816326530612;2019;7;15;2;0;0;0;0;0;0
857;none.joe biden.none;1;2;0.02040816326530612;2019;7;15;2;0;0;0;0;0;0
858;none.jeff hatch.none;1;2;0.02040816326530612;2019;7;15;2;0;0;0;0;0;0
859;none.isis fighters.civilians used as human shields;1;2;0.02040816326530612;2019;7;15;0;0;0;0;2;0;0
860;none.none.none;171;832;292.13963039014374;2019;8;1;72;200;18;218;132;112;80
861;none.joe biden.kamala harris;6;12;0.14784394250513347;2019;8;1;0;2;0;0;6;2;2
862;none.donald trump.none;5;12;0.12320328542094455;2019;8;1;0;2;0;0;0;2;8
863;verenzuela.none.none;5;10;0.1026694045174538;2019;8;1;0;0;0;2;8;0;0
864;none.john hickenlooper.kirsten gillibrand;5;10;0.1026694045174538;2019;8;1;0;0;0;2;8;0;0
865;jason momoa.none.none;5;10;0.1026694045174538;2019;8;1;0;2;0;2;6;0;0
866;none.none.baby girl;5;10;0.1026694045174538;2019;8;1;0;0;0;4;4;2;0
867;heredia.none.none;5;10;0.1026694045174538;2019;8;1;0;0;0;4;6;0;0
868;carignan.none.none;4;8;0.06570841889117043;2019;8;1;0;0;0;4;4;0;0
869;yalowitz.none.none;4;8;0.06570841889117043;2019;8;1;0;0;0;4;4;0;0
870;none.none.none;71;254;71.84860557768926;2019;8;15;50;2;128;14;16;44;0
871;none.democratic party.none;2;4;0.03187250996015936;2019;8;15;4;0;0;0;0;0;0
872;none.none.joe biden;2;4;0.03187250996015936;2019;8;15;4;0;0;0;0;0;0
873;mulrine.none.none;2;4;0.03187250996015936;2019;8;15;0;0;4;0;0;0;0
874;marlon brando.michael jackson.none;2;4;0.03187250996015936;2019;8;15;0;0;4;0;0;0;0
875;none.joe biden.none;2;4;0.03187250996015936;2019;8;15;4;0;0;0;0;0;0
876;ruth bader ginsburg.none.none;2;4;0.03187250996015936;2019;8;15;2;0;2;0;0;0;0
877;roger federer.none.none;2;4;0.03187250996015936;2019;8;15;0;0;4;0;0;0;0
878;andrew mccabe.donald trump.none;1;4;0.01593625498007968;2019;8;15;0;0;0;0;4;0;0
879;juan guaidó.nicolás maduro.venezuelan people;1;4;0.01593625498007968;2019;8;15;0;0;0;0;4;0;0
880;none.none.none;150;1336;370.42513863216266;2019;9;1;52;114;98;234;190;92;556
881;alexandru mitrita.none.none;10;20;0.36968576709796674;2019;9;1;0;0;2;8;10;0;0
882;novak djokovic.none.none;8;18;0.266173752310536;2019;9;1;0;0;2;6;10;0;0
883;naomi osaka.none.coco gauff;7;14;0.1811460258780037;2019;9;1;0;0;4;0;4;6;0
884;lesean mccoy.none.none;7;14;0.1811460258780037;2019;9;1;0;0;0;6;8;0;0
885;dynadot.com.none.none;1;80;0.14787430683918668;2019;9;1;0;0;0;0;0;0;80
886;albert pujols.none.none;5;10;0.09242144177449169;2019;9;1;0;0;2;6;2;0;0
887;none.none.uk's reputation;5;10;0.09242144177449169;2019;9;1;0;0;0;4;4;2;0
888;abbott.none.none;5;10;0.09242144177449169;2019;9;1;0;0;2;2;6;0;0
889;none.none.the uploaded content;1;36;0.066543438077634;2019;9;1;0;0;0;36;0;0;0
